"id","type","affix_kind","word_text","sort_order","enabled","sub_category","visual_tag","industry_tag","is_manual","is_temporary","approval_status"
"72","decision","industry","企业","2040","1","行业词","toB","NULL","0","0","approved"
"75","decision","industry","商家","2070","1","行业词","toC","NULL","0","0","approved"
"76","decision","industry","供应商","2080","1","行业词","toB","NULL","0","0","approved"
"77","decision","industry","制造商","2090","1","行业词","toB","NULL","0","0","approved"
"78","decision","industry","生产商","2100","1","行业词","toB","NULL","0","0","approved"
"79","decision","industry","代理商","2110","1","行业词","toC","NULL","0","0","approved"
"80","decision","industry","经销商","2120","1","行业词","toC","NULL","0","0","approved"
"81","decision","industry","运营商","2130","1","行业词","toB","NULL","0","0","approved"
"82","decision","industry","开发商","2140","1","行业词","toB","NULL","0","0","approved"
"83","decision","industry","服务商","2150","1","行业词","toB","NULL","0","0","approved"
"84","decision","industry","连锁店","2160","1","行业词","toC","NULL","0","0","approved"
"85","decision","industry","旗舰店","2170","1","行业词","toC","NULL","0","0","approved"
"86","decision","industry","专卖店","2180","1","行业词","toC","NULL","0","0","approved"
"463","decision","prefix","值得选的","10","1","正向评价类","NULL","NULL","0","0","approved"
"464","decision","prefix","推荐的","20","1","正向评价类","NULL","NULL","0","0","approved"
"465","decision","prefix","适合的","30","1","正向评价类","NULL","NULL","0","0","approved"
"466","decision","prefix","合适的","40","1","正向评价类","NULL","NULL","0","0","approved"
"467","decision","prefix","理想的","50","1","正向评价类","NULL","NULL","0","0","approved"
"468","decision","prefix","首选的","60","1","正向评价类","NULL","NULL","0","0","approved"
"469","decision","prefix","优质的","70","1","品牌品质类","NULL","NULL","0","0","approved"
"787","decision","prefix","一线的","300","1","品牌品质类","NULL","NULL","0","0","approved"
"788","decision","prefix","大牌的","310","1","品牌品质类","NULL","NULL","0","0","approved"
"789","decision","prefix","老牌的","320","1","品牌品质类","NULL","NULL","0","0","approved"
"790","decision","prefix","头部的","330","1","品牌品质类","NULL","NULL","0","0","approved"
"791","decision","prefix","高端的","340","1","品牌品质类","NULL","NULL","0","0","approved"
"792","decision","prefix","中高端的","350","1","品牌品质类","NULL","NULL","0","0","approved"
"9","decision","prefix","口碑好的","1010","1","正向评价类","NULL","NULL","0","0","approved"
"10","decision","prefix","比较好的","1020","0","正向评价类","NULL","NULL","0","0","approved"
"11","decision","prefix","靠谱的","1030","1","正向评价类","NULL","NULL","0","0","approved"
"12","decision","prefix","有实力的","1040","1","品牌品质类","NULL","NULL","0","0","approved"
"13","decision","prefix","专业的","1050","1","正向评价类","NULL","NULL","0","0","approved"
